"","V1","V2","V3","cluster"
"245",26,29,45,"1"
"246",26,30,44,"1"
"247",26,31,43,"1"
"248",26,32,42,"1"
"249",26,33,41,"3"
"250",26,34,40,"3"
"251",26,35,39,"3"
"252",26,36,38,"3"
"253",26,37,37,"3"
"254",26,38,36,"3"
"255",26,39,35,"3"
"256",26,40,34,"3"
"257",26,41,33,"3"
"258",26,42,32,"3"
"259",26,43,31,"3"
"260",26,44,30,"3"
"261",26,45,29,"3"
"262",26,46,28,"3"
"263",26,47,27,"3"
"264",26,48,26,"3"
"265",26,49,25,"3"
"266",27,20,53,"1"
"267",27,21,52,"1"
"268",27,22,51,"1"
"269",27,23,50,"1"
"270",27,24,49,"1"
"271",27,25,48,"1"
"272",27,26,47,"1"
"273",27,27,46,"1"
"274",27,28,45,"1"
"275",27,29,44,"1"
"276",27,30,43,"1"
"277",27,31,42,"1"
"278",27,32,41,"3"
"279",27,33,40,"3"
"280",27,34,39,"3"
"281",27,35,38,"3"
"282",27,36,37,"3"
"283",27,37,36,"3"
"284",27,38,35,"3"
"285",27,39,34,"3"
"286",27,40,33,"3"
"287",27,41,32,"3"
"288",27,42,31,"3"
"289",27,43,30,"3"
"290",27,44,29,"3"
"291",27,45,28,"3"
"292",27,46,27,"3"
"293",27,47,26,"3"
"294",27,48,25,"3"
"295",28,20,52,"1"
"296",28,21,51,"1"
"297",28,22,50,"1"
"298",28,23,49,"1"
"299",28,24,48,"1"
"300",28,25,47,"1"
"301",28,26,46,"1"
"302",28,27,45,"1"
"303",28,28,44,"1"
"304",28,29,43,"1"
"305",28,30,42,"1"
"306",28,31,41,"1"
"307",28,32,40,"3"
"308",28,33,39,"3"
"309",28,34,38,"3"
"310",28,35,37,"3"
"311",28,36,36,"3"
"312",28,37,35,"3"
"313",28,38,34,"3"
"314",28,39,33,"3"
"315",28,40,32,"3"
"316",28,41,31,"3"
"317",28,42,30,"3"
"318",28,43,29,"3"
"319",28,44,28,"3"
"320",28,45,27,"3"
"321",28,46,26,"3"
"322",28,47,25,"3"
"323",29,20,51,"1"
"324",29,21,50,"1"
"325",29,22,49,"1"
"326",29,23,48,"1"
"327",29,24,47,"1"
"328",29,25,46,"1"
"329",29,26,45,"1"
"330",29,27,44,"1"
"331",29,28,43,"1"
"332",29,29,42,"1"
"333",29,30,41,"1"
"334",29,31,40,"3"
"335",29,32,39,"3"
"336",29,33,38,"3"
"337",29,34,37,"3"
"338",29,35,36,"3"
"339",29,36,35,"3"
"340",29,37,34,"3"
"341",29,38,33,"3"
"342",29,39,32,"3"
"343",29,40,31,"3"
"344",29,41,30,"3"
"345",29,42,29,"3"
"346",29,43,28,"3"
"347",29,44,27,"3"
"348",29,45,26,"3"
"349",29,46,25,"3"
"350",30,20,50,"1"
"351",30,21,49,"1"
"352",30,22,48,"1"
"353",30,23,47,"1"
"354",30,24,46,"1"
"355",30,25,45,"1"
"356",30,26,44,"1"
"357",30,27,43,"1"
"358",30,28,42,"1"
"359",30,29,41,"1"
"360",30,30,40,"1"
"361",30,31,39,"3"
"362",30,32,38,"3"
"363",30,33,37,"3"
"364",30,34,36,"3"
"365",30,35,35,"3"
"366",30,36,34,"3"
"367",30,37,33,"3"
"368",30,38,32,"3"
"369",30,39,31,"3"
"370",30,40,30,"3"
"371",30,41,29,"3"
"372",30,42,28,"3"
"373",30,43,27,"3"
"374",30,44,26,"3"
"375",30,45,25,"3"
"376",31,20,49,"1"
"377",31,21,48,"1"
"378",31,22,47,"1"
"379",31,23,46,"1"
"380",31,24,45,"1"
"381",31,25,44,"1"
"382",31,26,43,"1"
"383",31,27,42,"1"
"384",31,28,41,"1"
"385",31,29,40,"1"
"386",31,30,39,"3"
"387",31,31,38,"3"
"388",31,32,37,"3"
"389",31,33,36,"3"
"390",31,34,35,"3"
"391",31,35,34,"3"
"392",31,36,33,"3"
"393",31,37,32,"3"
"394",31,38,31,"3"
"395",31,39,30,"3"
"396",31,40,29,"3"
"397",31,41,28,"3"
"398",31,42,27,"3"
"399",31,43,26,"3"
"400",31,44,25,"3"
"401",32,20,48,"1"
"402",32,21,47,"1"
"403",32,22,46,"1"
"404",32,23,45,"1"
"405",32,24,44,"1"
"406",32,25,43,"1"
"407",32,26,42,"1"
"408",32,27,41,"1"
"409",32,28,40,"1"
"410",32,29,39,"1"
"411",32,30,38,"3"
"412",32,31,37,"3"
"413",32,32,36,"3"
"414",32,33,35,"3"
"415",32,34,34,"3"
"416",32,35,33,"3"
"417",32,36,32,"3"
"418",32,37,31,"3"
"419",32,38,30,"3"
"420",32,39,29,"3"
"421",32,40,28,"3"
"422",32,41,27,"3"
"423",32,42,26,"3"
"424",32,43,25,"3"
"425",33,20,47,"1"
"426",33,21,46,"1"
"427",33,22,45,"1"
"428",33,23,44,"1"
"429",33,24,43,"1"
"430",33,25,42,"1"
"431",33,26,41,"1"
"432",33,27,40,"1"
"433",33,28,39,"1"
"434",33,29,38,"3"
"435",33,30,37,"3"
"436",33,31,36,"3"
"437",33,32,35,"3"
"438",33,33,34,"3"
"439",33,34,33,"3"
"440",33,35,32,"3"
"441",33,36,31,"3"
"442",33,37,30,"3"
"443",33,38,29,"3"
"444",33,39,28,"3"
"445",33,40,27,"3"
"446",33,41,26,"3"
"447",33,42,25,"3"
"448",34,20,46,"1"
"449",34,21,45,"1"
"450",34,22,44,"1"
"451",34,23,43,"1"
"452",34,24,42,"1"
"453",34,25,41,"1"
